                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:-       |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    8:-       |   8:-       |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    8:-       |   8:-       |   8:-       |   4:lda     |   0:-       BUS_LOAD  MEM[0] accepted 1
    4:    8:-       |   8:-       |   8:-       |   8:-       |   4:lda     r0=4096  BUS_LOAD  MEM[0] accepted 1
    5:    8:br      |   8:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[0] accepted 1
    6:   12:-       |   8:br      |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
    7:   12:-       |  12:-       |   8:br      |   8:-       |   8:-       BUS_LOAD  MEM[8] accepted 1
    8:   12:-       |  12:-       |  12:-       |   8:br      |   8:-       BUS_LOAD  MEM[8] accepted 1
    9:   28:-       |  12:-       |  12:-       |  12:-       |   8:br      r1=8  BUS_LOAD  MEM[24] accepted 1
   10:   28:ldq     |  28:-       |  12:-       |  12:-       |  12:-       BUS_LOAD  MEM[24] accepted 1
   11:   32:-       |  28:ldq     |  28:-       |  12:-       |  12:-       BUS_LOAD  MEM[24] accepted 1
   12:   32:-       |  32:-       |  28:ldq     |  28:-       |  12:-       BUS_LOAD  MEM[24] accepted 1
   13:   32:-       |  32:-       |  32:-       |  28:ldq     |  28:-       BUS_LOAD  MEM[8] accepted 1
   14:   32:-       |  32:-       |  32:-       |  32:-       |  28:ldq     r2=0x27bb2ee687b0b0fd  BUS_LOAD  MEM[24] accepted 1
   15:   32:ldq     |  32:-       |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[24] accepted 1
   16:   36:-       |  32:ldq     |  32:-       |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   17:   36:-       |  36:-       |  32:ldq     |  32:-       |  32:-       BUS_LOAD  MEM[32] accepted 1
   18:   36:-       |  36:-       |  36:-       |  32:ldq     |  32:-       BUS_LOAD  MEM[16] accepted 1
   19:   36:-       |  36:-       |  36:-       |  36:-       |  32:ldq     r3=-1257966803  BUS_LOAD  MEM[32] accepted 1
   20:   36:lda     |  36:-       |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
   21:   40:-       |  36:lda     |  36:-       |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
   22:   40:-       |  40:-       |  36:lda     |  36:-       |  36:-       BUS_LOAD  MEM[32] accepted 1
   23:   40:-       |  40:-       |  40:-       |  36:lda     |  36:-       BUS_LOAD  MEM[32] accepted 1
   24:   40:-       |  40:-       |  40:-       |  40:-       |  36:lda     r4=0  BUS_LOAD  MEM[32] accepted 1
   25:   40:addq    |  40:-       |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[32] accepted 1
   26:   44:-       |  40:addq    |  40:-       |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
   27:   44:-       |  44:-       |  40:addq    |  40:-       |  40:-       BUS_LOAD  MEM[40] accepted 1
   28:   44:-       |  44:-       |  44:-       |  40:addq    |  40:-       BUS_LOAD  MEM[40] accepted 1
   29:   44:-       |  44:-       |  44:-       |  44:-       |  40:addq    r4=1  BUS_LOAD  MEM[40] accepted 1
   30:   44:cmple   |  44:-       |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
   31:   48:-       |  44:cmple   |  44:-       |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
   32:   48:-       |  48:-       |  44:cmple   |  44:-       |  44:-       BUS_LOAD  MEM[40] accepted 1
   33:   48:-       |  48:-       |  48:-       |  44:cmple   |  44:-       BUS_LOAD  MEM[40] accepted 1
   34:   48:-       |  48:-       |  48:-       |  48:-       |  44:cmple   r5=1  BUS_LOAD  MEM[40] accepted 1
   35:   48:mulq    |  48:-       |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[40] accepted 1
   36:   52:-       |  48:mulq    |  48:-       |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
   37:   52:-       |  52:-       |  48:mulq    |  48:-       |  48:-       BUS_LOAD  MEM[48] accepted 1
   38:   52:-       |  52:-       |  52:-       |  48:mulq    |  48:-       BUS_LOAD  MEM[48] accepted 1
   39:   52:-       |  52:-       |  52:-       |  52:-       |  48:mulq    r10=0x3dd977343d8587e8  BUS_LOAD  MEM[48] accepted 1
   40:   52:addq    |  52:-       |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
   41:   56:-       |  52:addq    |  52:-       |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
   42:   56:-       |  56:-       |  52:addq    |  52:-       |  52:-       BUS_LOAD  MEM[48] accepted 1
   43:   56:-       |  56:-       |  56:-       |  52:addq    |  52:-       BUS_LOAD  MEM[48] accepted 1
   44:   56:-       |  56:-       |  56:-       |  56:-       |  52:addq    r10=0x3dd97734f28a7b15  BUS_LOAD  MEM[48] accepted 1
   45:   56:mulq    |  56:-       |  56:-       |  56:-       |  56:-       BUS_LOAD  MEM[48] accepted 1
