                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:br      |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:-       |   4:br      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:    8:-       |   8:-       |   4:br      |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    3:    8:-       |   8:-       |   8:-       |   4:br      |   0:-       BUS_LOAD  MEM[0] accepted 1
    4:  140:-       |   8:-       |   8:-       |   8:-       |   4:br      BUS_LOAD  MEM[136] accepted 1
    5:  140:lda     | 140:-       |   8:-       |   8:-       |   8:-       BUS_LOAD  MEM[136] accepted 1
    6:  144:-       | 140:lda     | 140:-       |   8:-       |   8:-       BUS_LOAD  MEM[136] accepted 1
    7:  144:-       | 144:-       | 140:lda     | 140:-       |   8:-       BUS_LOAD  MEM[136] accepted 1
    8:  144:-       | 144:-       | 144:-       | 140:lda     | 140:-       BUS_LOAD  MEM[136] accepted 1
    9:  144:-       | 144:-       | 144:-       | 144:-       | 140:lda     r0=8  BUS_LOAD  MEM[136] accepted 1
   10:  144:bis     | 144:-       | 144:-       | 144:-       | 144:-       BUS_LOAD  MEM[136] accepted 1
   11:  148:-       | 144:bis     | 144:-       | 144:-       | 144:-       BUS_LOAD  MEM[144] accepted 1
   12:  148:-       | 148:-       | 144:bis     | 144:-       | 144:-       BUS_LOAD  MEM[144] accepted 1
   13:  148:-       | 148:-       | 148:-       | 144:bis     | 144:-       BUS_LOAD  MEM[144] accepted 1
   14:  148:-       | 148:-       | 148:-       | 148:-       | 144:bis     r5=0  BUS_LOAD  MEM[144] accepted 1
   15:  148:bis     | 148:-       | 148:-       | 148:-       | 148:-       BUS_LOAD  MEM[144] accepted 1
   16:  152:-       | 148:bis     | 148:-       | 148:-       | 148:-       BUS_LOAD  MEM[144] accepted 1
   17:  152:-       | 152:-       | 148:bis     | 148:-       | 148:-       BUS_LOAD  MEM[144] accepted 1
   18:  152:-       | 152:-       | 152:-       | 148:bis     | 148:-       BUS_LOAD  MEM[144] accepted 1
   19:  152:-       | 152:-       | 152:-       | 152:-       | 148:bis     r6=0  BUS_LOAD  MEM[144] accepted 1
   20:  152:subq    | 152:-       | 152:-       | 152:-       | 152:-       BUS_LOAD  MEM[144] accepted 1
   21:  156:-       | 152:subq    | 152:-       | 152:-       | 152:-       BUS_LOAD  MEM[152] accepted 1
   22:  156:-       | 156:-       | 152:subq    | 152:-       | 152:-       BUS_LOAD  MEM[152] accepted 1
   23:  156:-       | 156:-       | 156:-       | 152:subq    | 152:-       BUS_LOAD  MEM[152] accepted 1
   24:  156:-       | 156:-       | 156:-       | 156:-       | 152:subq    r7=0  BUS_LOAD  MEM[152] accepted 1
   25:  156:addq    | 156:-       | 156:-       | 156:-       | 156:-       BUS_LOAD  MEM[152] accepted 1
   26:  160:-       | 156:addq    | 156:-       | 156:-       | 156:-       BUS_LOAD  MEM[152] accepted 1
   27:  160:-       | 160:-       | 156:addq    | 156:-       | 156:-       BUS_LOAD  MEM[152] accepted 1
   28:  160:-       | 160:-       | 160:-       | 156:addq    | 156:-       BUS_LOAD  MEM[152] accepted 1
   29:  160:-       | 160:-       | 160:-       | 160:-       | 156:addq    r7=16  BUS_LOAD  MEM[152] accepted 1
   30:  160:bis     | 160:-       | 160:-       | 160:-       | 160:-       BUS_LOAD  MEM[152] accepted 1
   31:  164:-       | 160:bis     | 160:-       | 160:-       | 160:-       BUS_LOAD  MEM[160] accepted 1
   32:  164:-       | 164:-       | 160:bis     | 160:-       | 160:-       BUS_LOAD  MEM[160] accepted 1
   33:  164:-       | 164:-       | 164:-       | 160:bis     | 160:-       BUS_LOAD  MEM[160] accepted 1
   34:  164:-       | 164:-       | 164:-       | 164:-       | 160:bis     r1=8  BUS_LOAD  MEM[160] accepted 1
   35:  164:ldq     | 164:-       | 164:-       | 164:-       | 164:-       BUS_LOAD  MEM[160] accepted 1
   36:  168:-       | 164:ldq     | 164:-       | 164:-       | 164:-       BUS_LOAD  MEM[160] accepted 1
   37:  168:-       | 168:-       | 164:ldq     | 164:-       | 164:-       BUS_LOAD  MEM[160] accepted 1
   38:  168:-       | 168:-       | 168:-       | 164:ldq     | 164:-       BUS_LOAD  MEM[8] accepted 1
   39:  168:-       | 168:-       | 168:-       | 168:-       | 164:ldq     r2=3  BUS_LOAD  MEM[160] accepted 1
