                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:nop     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:nop     |   8:nop     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:nop     |  12:nop     |   8:nop     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:nop     |  16:nop     |  12:nop     |   8:nop     |   4:lda     r5=0  BUS_LOAD  MEM[16] accepted 1
    5:   24:lda     |  20:nop     |  16:nop     |  12:nop     |   8:nop     BUS_LOAD  MEM[16] accepted 1
    6:   28:nop     |  24:lda     |  20:nop     |  16:nop     |  12:nop     BUS_LOAD  MEM[24] accepted 1
    7:   32:nop     |  28:nop     |  24:lda     |  20:nop     |  16:nop     BUS_LOAD  MEM[24] accepted 1
    8:   36:nop     |  32:nop     |  28:nop     |  24:lda     |  20:nop     BUS_LOAD  MEM[32] accepted 1
    9:   40:nop     |  36:nop     |  32:nop     |  28:nop     |  24:lda     r1=4096  BUS_LOAD  MEM[32] accepted 1
   10:   44:mulq    |  40:nop     |  36:nop     |  32:nop     |  28:nop     BUS_LOAD  MEM[40] accepted 1
   11:   48:nop     |  44:mulq    |  40:nop     |  36:nop     |  32:nop     BUS_LOAD  MEM[40] accepted 1
   12:   52:nop     |  48:nop     |  44:mulq    |  40:nop     |  36:nop     BUS_LOAD  MEM[48] accepted 1
   13:   56:nop     |  52:nop     |  48:nop     |  44:mulq    |  40:nop     BUS_LOAD  MEM[48] accepted 1
   14:   60:nop     |  56:nop     |  52:nop     |  48:nop     |  44:mulq    r2=0  BUS_LOAD  MEM[56] accepted 1
   15:   64:stq     |  60:nop     |  56:nop     |  52:nop     |  48:nop     BUS_LOAD  MEM[56] accepted 1
   16:   68:nop     |  64:stq     |  60:nop     |  56:nop     |  52:nop     BUS_LOAD  MEM[64] accepted 1
   17:   72:nop     |  68:nop     |  64:stq     |  60:nop     |  56:nop     BUS_LOAD  MEM[64] accepted 1
   18:    0:-       |  72:nop     |  68:nop     |  64:stq     |  60:nop     BUS_STORE MEM[4096] = 0 accepted 1
   19:   76:nop     |   0:-       |  72:nop     |  68:nop     |  64:stq     BUS_LOAD  MEM[72] accepted 1
   20:   80:nop     |  76:nop     |   0:-       |  72:nop     |  68:nop     BUS_LOAD  MEM[72] accepted 1
   21:   84:ldq     |  80:nop     |  76:nop     |   0:-       |  72:nop     BUS_LOAD  MEM[80] accepted 1
   22:   88:nop     |  84:ldq     |  80:nop     |  76:nop     |   0:-       BUS_LOAD  MEM[80] accepted 1
   23:   92:nop     |  88:nop     |  84:ldq     |  80:nop     |  76:nop     BUS_LOAD  MEM[88] accepted 1
   24:    0:-       |  92:nop     |  88:nop     |  84:ldq     |  80:nop     BUS_LOAD  MEM[4096] accepted 1
   25:   96:nop     |   0:-       |  92:nop     |  88:nop     |  84:ldq     r3=0  BUS_LOAD  MEM[88] accepted 1
   26:  100:nop     |  96:nop     |   0:-       |  92:nop     |  88:nop     BUS_LOAD  MEM[96] accepted 1
   27:  104:stq     | 100:nop     |  96:nop     |   0:-       |  92:nop     BUS_LOAD  MEM[96] accepted 1
   28:  108:nop     | 104:stq     | 100:nop     |  96:nop     |   0:-       BUS_LOAD  MEM[104] accepted 1
   29:  112:nop     | 108:nop     | 104:stq     | 100:nop     |  96:nop     BUS_LOAD  MEM[104] accepted 1
   30:    0:-       | 112:nop     | 108:nop     | 104:stq     | 100:nop     BUS_STORE MEM[4352] = 0 accepted 1
   31:  116:nop     |   0:-       | 112:nop     | 108:nop     | 104:stq     BUS_LOAD  MEM[112] accepted 1
   32:  120:nop     | 116:nop     |   0:-       | 112:nop     | 108:nop     BUS_LOAD  MEM[112] accepted 1
   33:  124:addq    | 120:nop     | 116:nop     |   0:-       | 112:nop     BUS_LOAD  MEM[120] accepted 1
   34:  128:nop     | 124:addq    | 120:nop     | 116:nop     |   0:-       BUS_LOAD  MEM[120] accepted 1
   35:  132:nop     | 128:nop     | 124:addq    | 120:nop     | 116:nop     BUS_LOAD  MEM[128] accepted 1
   36:  136:nop     | 132:nop     | 128:nop     | 124:addq    | 120:nop     BUS_LOAD  MEM[128] accepted 1
   37:  140:nop     | 136:nop     | 132:nop     | 128:nop     | 124:addq    r1=4104  BUS_LOAD  MEM[136] accepted 1
   38:  144:addq    | 140:nop     | 136:nop     | 132:nop     | 128:nop     BUS_LOAD  MEM[136] accepted 1
   39:  148:nop     | 144:addq    | 140:nop     | 136:nop     | 132:nop     BUS_LOAD  MEM[144] accepted 1
   40:  152:nop     | 148:nop     | 144:addq    | 140:nop     | 136:nop     BUS_LOAD  MEM[144] accepted 1
   41:  156:nop     | 152:nop     | 148:nop     | 144:addq    | 140:nop     BUS_LOAD  MEM[152] accepted 1
   42:  160:nop     | 156:nop     | 152:nop     | 148:nop     | 144:addq    r5=1  BUS_LOAD  MEM[152] accepted 1
   43:  164:cmple   | 160:nop     | 156:nop     | 152:nop     | 148:nop     BUS_LOAD  MEM[160] accepted 1
   44:  168:nop     | 164:cmple   | 160:nop     | 156:nop     | 152:nop     BUS_LOAD  MEM[160] accepted 1
   45:  172:nop     | 168:nop     | 164:cmple   | 160:nop     | 156:nop     BUS_LOAD  MEM[168] accepted 1
   46:  176:nop     | 172:nop     | 168:nop     | 164:cmple   | 160:nop     BUS_LOAD  MEM[168] accepted 1
   47:  180:nop     | 176:nop     | 172:nop     | 168:nop     | 164:cmple   r4=1  BUS_LOAD  MEM[176] accepted 1
   48:  184:bne     | 180:nop     | 176:nop     | 172:nop     | 168:nop     BUS_LOAD  MEM[176] accepted 1
   49:  188:nop     | 184:bne     | 180:nop     | 176:nop     | 172:nop     BUS_LOAD  MEM[184] accepted 1
   50:  192:nop     | 188:nop     | 184:bne     | 180:nop     | 176:nop     BUS_LOAD  MEM[184] accepted 1
   51:  196:nop     | 192:nop     | 188:nop     | 184:bne     | 180:nop     BUS_LOAD  MEM[192] accepted 1
   52:   44:mulq    |   0:-       |   0:-       |   0:-       | 184:bne     BUS_LOAD  MEM[40] accepted 1
   53:   48:nop     |  44:mulq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   54:   52:nop     |  48:nop     |  44:mulq    |   0:-       |   0:-       BUS_LOAD  MEM[48] accepted 1
   55:   56:nop     |  52:nop     |  48:nop     |  44:mulq    |   0:-       BUS_LOAD  MEM[48] accepted 1
   56:   60:nop     |  56:nop     |  52:nop     |  48:nop     |  44:mulq    r2=10  BUS_LOAD  MEM[56] accepted 1
   57:   64:stq     |  60:nop     |  56:nop     |  52:nop     |  48:nop     BUS_LOAD  MEM[56] accepted 1
   58:   68:nop     |  64:stq     |  60:nop     |  56:nop     |  52:nop     BUS_LOAD  MEM[64] accepted 1
   59:   72:nop     |  68:nop     |  64:stq     |  60:nop     |  56:nop     BUS_LOAD  MEM[64] accepted 1
   60:    0:-       |  72:nop     |  68:nop     |  64:stq     |  60:nop     BUS_STORE MEM[4104] = 10 accepted 1
   61:   76:nop     |   0:-       |  72:nop     |  68:nop     |  64:stq     BUS_LOAD  MEM[72] accepted 1
   62:   80:nop     |  76:nop     |   0:-       |  72:nop     |  68:nop     BUS_LOAD  MEM[72] accepted 1
   63:   84:ldq     |  80:nop     |  76:nop     |   0:-       |  72:nop     BUS_LOAD  MEM[80] accepted 1
   64:   88:nop     |  84:ldq     |  80:nop     |  76:nop     |   0:-       BUS_LOAD  MEM[80] accepted 1
   65:   92:nop     |  88:nop     |  84:ldq     |  80:nop     |  76:nop     BUS_LOAD  MEM[88] accepted 1
   66:    0:-       |  92:nop     |  88:nop     |  84:ldq     |  80:nop     BUS_LOAD  MEM[4104] accepted 1
   67:   96:nop     |   0:-       |  92:nop     |  88:nop     |  84:ldq     r3=10  BUS_LOAD  MEM[88] accepted 1
   68:  100:nop     |  96:nop     |   0:-       |  92:nop     |  88:nop     BUS_LOAD  MEM[96] accepted 1
   69:  104:stq     | 100:nop     |  96:nop     |   0:-       |  92:nop     BUS_LOAD  MEM[96] accepted 1
   70:  108:nop     | 104:stq     | 100:nop     |  96:nop     |   0:-       BUS_LOAD  MEM[104] accepted 1
   71:  112:nop     | 108:nop     | 104:stq     | 100:nop     |  96:nop     BUS_LOAD  MEM[104] accepted 1
   72:    0:-       | 112:nop     | 108:nop     | 104:stq     | 100:nop     BUS_STORE MEM[4360] = 10 accepted 1
   73:  116:nop     |   0:-       | 112:nop     | 108:nop     | 104:stq     BUS_LOAD  MEM[112] accepted 1
   74:  120:nop     | 116:nop     |   0:-       | 112:nop     | 108:nop     BUS_LOAD  MEM[112] accepted 1
   75:  124:addq    | 120:nop     | 116:nop     |   0:-       | 112:nop     BUS_LOAD  MEM[120] accepted 1
   76:  128:nop     | 124:addq    | 120:nop     | 116:nop     |   0:-       BUS_LOAD  MEM[120] accepted 1
   77:  132:nop     | 128:nop     | 124:addq    | 120:nop     | 116:nop     BUS_LOAD  MEM[128] accepted 1
   78:  136:nop     | 132:nop     | 128:nop     | 124:addq    | 120:nop     BUS_LOAD  MEM[128] accepted 1
   79:  140:nop     | 136:nop     | 132:nop     | 128:nop     | 124:addq    r1=4112  BUS_LOAD  MEM[136] accepted 1
   80:  144:addq    | 140:nop     | 136:nop     | 132:nop     | 128:nop     BUS_LOAD  MEM[136] accepted 1
   81:  148:nop     | 144:addq    | 140:nop     | 136:nop     | 132:nop     BUS_LOAD  MEM[144] accepted 1
   82:  152:nop     | 148:nop     | 144:addq    | 140:nop     | 136:nop     BUS_LOAD  MEM[144] accepted 1
   83:  156:nop     | 152:nop     | 148:nop     | 144:addq    | 140:nop     BUS_LOAD  MEM[152] accepted 1
   84:  160:nop     | 156:nop     | 152:nop     | 148:nop     | 144:addq    r5=2  BUS_LOAD  MEM[152] accepted 1
   85:  164:cmple   | 160:nop     | 156:nop     | 152:nop     | 148:nop     BUS_LOAD  MEM[160] accepted 1
   86:  168:nop     | 164:cmple   | 160:nop     | 156:nop     | 152:nop     BUS_LOAD  MEM[160] accepted 1
   87:  172:nop     | 168:nop     | 164:cmple   | 160:nop     | 156:nop     BUS_LOAD  MEM[168] accepted 1
   88:  176:nop     | 172:nop     | 168:nop     | 164:cmple   | 160:nop     BUS_LOAD  MEM[168] accepted 1
   89:  180:nop     | 176:nop     | 172:nop     | 168:nop     | 164:cmple   r4=1  BUS_LOAD  MEM[176] accepted 1
   90:  184:bne     | 180:nop     | 176:nop     | 172:nop     | 168:nop     BUS_LOAD  MEM[176] accepted 1
   91:  188:nop     | 184:bne     | 180:nop     | 176:nop     | 172:nop     BUS_LOAD  MEM[184] accepted 1
   92:  192:nop     | 188:nop     | 184:bne     | 180:nop     | 176:nop     BUS_LOAD  MEM[184] accepted 1
