                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:addq    |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:addq    |  12:addq    |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:addq    |  16:addq    |  12:addq    |   8:lda     |   4:lda     r2=0  BUS_LOAD  MEM[16] accepted 1
    5:   24:addq    |  20:addq    |  16:addq    |  12:addq    |   8:lda     r3=4096  BUS_LOAD  MEM[16] accepted 1
    6:   28:addq    |  24:addq    |  20:addq    |  16:addq    |  12:addq    r5=0  BUS_LOAD  MEM[24] accepted 1
    7:   32:addq    |  28:addq    |  24:addq    |  20:addq    |  16:addq    r8=0  BUS_LOAD  MEM[24] accepted 1
    8:   36:addq    |  32:addq    |  28:addq    |  24:addq    |  20:addq    r7=0  BUS_LOAD  MEM[32] accepted 1
    9:   40:stq     |  36:addq    |  32:addq    |  28:addq    |  24:addq    r4=0  BUS_LOAD  MEM[32] accepted 1
   10:   44:addq    |  40:stq     |  36:addq    |  32:addq    |  28:addq    r6=0  BUS_LOAD  MEM[40] accepted 1
   11:   48:addq    |  44:addq    |  40:stq     |  36:addq    |  32:addq    r9=0  BUS_LOAD  MEM[40] accepted 1
   12:    0:-       |  48:addq    |  44:addq    |  40:stq     |  36:addq    r10=0  BUS_STORE MEM[4096] = 0 accepted 1
   13:   52:cmple   |   0:-       |  48:addq    |  44:addq    |  40:stq     BUS_LOAD  MEM[48] accepted 1
   14:   56:bne     |  52:cmple   |   0:-       |  48:addq    |  44:addq    r3=4104  BUS_LOAD  MEM[48] accepted 1
   15:   60:halt    |  56:bne     |  52:cmple   |   0:-       |  48:addq    r2=1  BUS_LOAD  MEM[56] accepted 1
   16:   64:call_pal|  60:halt    |  56:bne     |  52:cmple   |   0:-       BUS_LOAD  MEM[56] accepted 1
   17:   68:call_pal|  64:call_pal|  60:halt    |  56:bne     |  52:cmple   r1=1  BUS_LOAD  MEM[64] accepted 1
   18:   12:addq    |   0:-       |   0:-       |   0:-       |  56:bne     BUS_LOAD  MEM[8] accepted 1
   19:   16:addq    |  12:addq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
   20:   20:addq    |  16:addq    |  12:addq    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   21:   24:addq    |  20:addq    |  16:addq    |  12:addq    |   0:-       BUS_LOAD  MEM[16] accepted 1
   22:   28:addq    |  24:addq    |  20:addq    |  16:addq    |  12:addq    r5=2  BUS_LOAD  MEM[24] accepted 1
   23:   32:addq    |  28:addq    |  24:addq    |  20:addq    |  16:addq    r8=2  BUS_LOAD  MEM[24] accepted 1
   24:   36:addq    |  32:addq    |  28:addq    |  24:addq    |  20:addq    r7=2  BUS_LOAD  MEM[32] accepted 1
   25:   40:stq     |  36:addq    |  32:addq    |  28:addq    |  24:addq    r4=2  BUS_LOAD  MEM[32] accepted 1
   26:   44:addq    |  40:stq     |  36:addq    |  32:addq    |  28:addq    r6=4  BUS_LOAD  MEM[40] accepted 1
   27:   48:addq    |  44:addq    |  40:stq     |  36:addq    |  32:addq    r9=4  BUS_LOAD  MEM[40] accepted 1
   28:    0:-       |  48:addq    |  44:addq    |  40:stq     |  36:addq    r10=8  BUS_STORE MEM[4104] = 8 accepted 1
   29:   52:cmple   |   0:-       |  48:addq    |  44:addq    |  40:stq     BUS_LOAD  MEM[48] accepted 1
