                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:br      |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:lda     |  12:br      |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:subq    |  16:lda     |  12:br      |   8:lda     |   4:lda     r0=1024  BUS_LOAD  MEM[16] accepted 1
    5:   24:lda     |  20:subq    |  16:lda     |  12:br      |   8:lda     r1=1280  BUS_LOAD  MEM[16] accepted 1
    6: 2052:subq    |   0:-       |   0:-       |   0:-       |  12:br      BUS_LOAD  MEM[2048] accepted 1
    7: 2056:bis     |2052:subq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[2048] accepted 1
    8: 2060:bis     |2056:bis     |2052:subq    |   0:-       |   0:-       BUS_LOAD  MEM[2056] accepted 1
    9: 2064:ldq     |2060:bis     |2056:bis     |2052:subq    |   0:-       BUS_LOAD  MEM[2056] accepted 1
   10: 2068:ldq     |2064:ldq     |2060:bis     |2056:bis     |2052:subq    r2=1272  BUS_LOAD  MEM[2064] accepted 1
   11: 2072:ldq     |2068:ldq     |2064:ldq     |2060:bis     |2056:bis     r10=1024  BUS_LOAD  MEM[2064] accepted 1
   12:    0:-       |2072:ldq     |2068:ldq     |2064:ldq     |2060:bis     r20=1280  BUS_LOAD  MEM[1024] accepted 1
   13:    0:-       |   0:-       |2072:ldq     |2068:ldq     |2064:ldq     r11=2  BUS_LOAD  MEM[1280] accepted 1
   14:    0:-       |   0:-       |   0:-       |2072:ldq     |2068:ldq     r21=36  BUS_LOAD  MEM[1032] accepted 1
   15: 2076:ldq     |   0:-       |   0:-       |   0:-       |2072:ldq     r12=8  BUS_LOAD  MEM[2072] accepted 1
   16: 2080:addq    |2076:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[2072] accepted 1
   17: 2084:addq    |2080:addq    |2076:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[2080] accepted 1
   18:    0:-       |2084:addq    |2080:addq    |2076:ldq     |   0:-       BUS_LOAD  MEM[1288] accepted 1
   19: 2088:cmplt   |   0:-       |2084:addq    |2080:addq    |2076:ldq     r22=74  BUS_LOAD  MEM[2080] accepted 1
   20: 2092:subq    |2088:cmplt   |   0:-       |2084:addq    |2080:addq    r20=1288  BUS_LOAD  MEM[2088] accepted 1
   21: 2096:subq    |2092:subq    |2088:cmplt   |   0:-       |2084:addq    r10=1032  BUS_LOAD  MEM[2088] accepted 1
   22: 2100:sra     |2096:subq    |2092:subq    |2088:cmplt   |   0:-       BUS_LOAD  MEM[2096] accepted 1
   23: 2104:sra     |2100:sra     |2096:subq    |2092:subq    |2088:cmplt   r3=1  BUS_LOAD  MEM[2096] accepted 1
   24: 2108:xor     |2104:sra     |2100:sra     |2096:subq    |2092:subq    r13=6  BUS_LOAD  MEM[2104] accepted 1
   25: 2112:xor     |2108:xor     |2104:sra     |2100:sra     |2096:subq    r23=38  BUS_LOAD  MEM[2104] accepted 1
   26: 2116:bic     |2112:xor     |2108:xor     |2104:sra     |2100:sra     r13=0  BUS_LOAD  MEM[2112] accepted 1
   27: 2120:bic     |2116:bic     |2112:xor     |2108:xor     |2104:sra     r23=0  BUS_LOAD  MEM[2112] accepted 1
   28: 2124:xor     |2120:bic     |2116:bic     |2112:xor     |2108:xor     r21=110  BUS_LOAD  MEM[2120] accepted 1
   29: 2128:xor     |2124:xor     |2120:bic     |2116:bic     |2112:xor     r11=10  BUS_LOAD  MEM[2120] accepted 1
