                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:blbs    |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:stq     |  12:blbs    |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:addq    |  16:stq     |  12:blbs    |   8:lda     |   4:lda     r2=0  BUS_LOAD  MEM[16] accepted 1
    5:   24:addq    |  20:addq    |  16:stq     |  12:blbs    |   8:lda     r3=4096  BUS_LOAD  MEM[16] accepted 1
    6:    0:-       |  24:addq    |  20:addq    |  16:stq     |  12:blbs    BUS_STORE MEM[4096] = 0 accepted 1
    7:   28:cmple   |   0:-       |  24:addq    |  20:addq    |  16:stq     BUS_LOAD  MEM[24] accepted 1
    8:   32:bne     |  28:cmple   |   0:-       |  24:addq    |  20:addq    r3=4104  BUS_LOAD  MEM[24] accepted 1
    9:   36:halt    |  32:bne     |  28:cmple   |   0:-       |  24:addq    r2=1  BUS_LOAD  MEM[32] accepted 1
   10:   40:call_pal|  36:halt    |  32:bne     |  28:cmple   |   0:-       BUS_LOAD  MEM[32] accepted 1
   11:   44:call_pal|  40:call_pal|  36:halt    |  32:bne     |  28:cmple   r1=1  BUS_LOAD  MEM[40] accepted 1
   12:   12:blbs    |   0:-       |   0:-       |   0:-       |  32:bne     BUS_LOAD  MEM[8] accepted 1
   13:   16:stq     |  12:blbs    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
   14:   20:addq    |  16:stq     |  12:blbs    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   15:   24:addq    |  20:addq    |  16:stq     |  12:blbs    |   0:-       BUS_LOAD  MEM[16] accepted 1
   16:   24:addq    |   0:-       |   0:-       |   0:-       |  12:blbs    BUS_LOAD  MEM[16] accepted 1
   17:   28:cmple   |  24:addq    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[24] accepted 1
   18:   32:bne     |  28:cmple   |  24:addq    |   0:-       |   0:-       BUS_LOAD  MEM[24] accepted 1
   19:   36:halt    |  32:bne     |  28:cmple   |  24:addq    |   0:-       BUS_LOAD  MEM[32] accepted 1
   20:   40:call_pal|  36:halt    |  32:bne     |  28:cmple   |  24:addq    r2=2  BUS_LOAD  MEM[32] accepted 1
   21:   44:call_pal|  40:call_pal|  36:halt    |  32:bne     |  28:cmple   r1=1  BUS_LOAD  MEM[40] accepted 1
   22:   12:blbs    |   0:-       |   0:-       |   0:-       |  32:bne     BUS_LOAD  MEM[8] accepted 1
   23:   16:stq     |  12:blbs    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
   24:   20:addq    |  16:stq     |  12:blbs    |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   25:   24:addq    |  20:addq    |  16:stq     |  12:blbs    |   0:-       BUS_LOAD  MEM[16] accepted 1
   26:    0:-       |  24:addq    |  20:addq    |  16:stq     |  12:blbs    BUS_STORE MEM[4104] = 2 accepted 1
   27:   28:cmple   |   0:-       |  24:addq    |  20:addq    |  16:stq     BUS_LOAD  MEM[24] accepted 1
   28:   32:bne     |  28:cmple   |   0:-       |  24:addq    |  20:addq    r3=4112  BUS_LOAD  MEM[24] accepted 1
   29:   36:halt    |  32:bne     |  28:cmple   |   0:-       |  24:addq    r2=3  BUS_LOAD  MEM[32] accepted 1
   30:   40:call_pal|  36:halt    |  32:bne     |  28:cmple   |   0:-       BUS_LOAD  MEM[32] accepted 1
