                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:lda     |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lda     |   4:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:lda     |   8:lda     |   4:lda     |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:lda     |  12:lda     |   8:lda     |   4:lda     |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:lda     |  16:lda     |  12:lda     |   8:lda     |   4:lda     r3=4096  BUS_LOAD  MEM[16] accepted 1
    5:   24:stq     |  20:lda     |  16:lda     |  12:lda     |   8:lda     r4=4104  BUS_LOAD  MEM[16] accepted 1
    6:   28:stq     |  24:stq     |  20:lda     |  16:lda     |  12:lda     r5=4112  BUS_LOAD  MEM[24] accepted 1
    7:   32:ldq     |  28:stq     |  24:stq     |  20:lda     |  16:lda     r9=2  BUS_LOAD  MEM[24] accepted 1
    8:    0:-       |  32:ldq     |  28:stq     |  24:stq     |  20:lda     r1=1  BUS_STORE MEM[4096] = 1 accepted 1
    9:    0:-       |   0:-       |  32:ldq     |  28:stq     |  24:stq     BUS_STORE MEM[4104] = 1 accepted 1
   10:    0:-       |   0:-       |   0:-       |  32:ldq     |  28:stq     BUS_LOAD  MEM[4096] accepted 1
   11:   36:ldq     |   0:-       |   0:-       |   0:-       |  32:ldq     r1=1  BUS_LOAD  MEM[32] accepted 1
   12:   40:addq    |  36:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   13:   44:addq    |  40:addq    |  36:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[40] accepted 1
   14:    0:-       |  40:addq    |   0:-       |  36:ldq     |   0:-       BUS_LOAD  MEM[4104] accepted 1
   15:   44:addq    |   0:-       |  40:addq    |   0:-       |  36:ldq     r2=1  BUS_LOAD  MEM[40] accepted 1
   16:   48:addq    |  44:addq    |   0:-       |  40:addq    |   0:-       BUS_LOAD  MEM[40] accepted 1
   17:   52:addq    |  48:addq    |  44:addq    |   0:-       |  40:addq    r2=2  BUS_LOAD  MEM[48] accepted 1
   18:   56:cmple   |  52:addq    |  48:addq    |  44:addq    |   0:-       BUS_LOAD  MEM[48] accepted 1
   19:   60:stq     |  56:cmple   |  52:addq    |  48:addq    |  44:addq    r3=4104  BUS_LOAD  MEM[56] accepted 1
   20:   64:addq    |  60:stq     |  56:cmple   |  52:addq    |  48:addq    r4=4112  BUS_LOAD  MEM[56] accepted 1
   21:   68:bne     |  64:addq    |  60:stq     |  56:cmple   |  52:addq    r9=3  BUS_LOAD  MEM[64] accepted 1
   22:    0:-       |  68:bne     |  64:addq    |  60:stq     |  56:cmple   r10=1  BUS_STORE MEM[4112] = 2 accepted 1
   23:   72:halt    |   0:-       |  68:bne     |  64:addq    |  60:stq     BUS_LOAD  MEM[64] accepted 1
   24:   76:call_pal|  72:halt    |   0:-       |  68:bne     |  64:addq    r5=4120  BUS_LOAD  MEM[72] accepted 1
   25:   32:ldq     |   0:-       |   0:-       |   0:-       |  68:bne     BUS_LOAD  MEM[24] accepted 1
   26:   36:ldq     |  32:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   27:   40:addq    |  36:ldq     |  32:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   28:    0:-       |  40:addq    |  36:ldq     |  32:ldq     |   0:-       BUS_LOAD  MEM[4104] accepted 1
   29:    0:-       |  40:addq    |   0:-       |  36:ldq     |  32:ldq     r1=1  BUS_LOAD  MEM[4112] accepted 1
   30:   44:addq    |   0:-       |  40:addq    |   0:-       |  36:ldq     r2=2  BUS_LOAD  MEM[40] accepted 1
