                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:br      |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:ldqu    |   4:br      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:call_pal|   8:ldqu    |   4:br      |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:call_pal|  12:call_pal|   8:-       |   4:br      |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:  140:lda     |   0:-       |   0:-       |   0:-       |   4:br      BUS_LOAD  MEM[136] accepted 1
    5:  144:lda     | 140:lda     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[136] accepted 1
    6:  148:ldq     | 144:lda     | 140:lda     |   0:-       |   0:-       BUS_LOAD  MEM[144] accepted 1
    7:  152:bis     | 148:ldq     | 144:lda     | 140:lda     |   0:-       BUS_LOAD  MEM[144] accepted 1
    8:  156:bis     | 152:bis     | 148:ldq     | 144:lda     | 140:lda     r5=1  BUS_LOAD  MEM[152] accepted 1
    9:    0:-       | 156:bis     | 152:bis     | 148:ldq     | 144:lda     r9=16  BUS_LOAD  MEM[16] accepted 1
   10:  160:subq    |   0:-       | 156:bis     | 152:bis     | 148:ldq     r3=1  BUS_LOAD  MEM[152] accepted 1
   11:  164:ldq     | 160:subq    |   0:-       | 156:bis     | 152:bis     r6=1  BUS_LOAD  MEM[160] accepted 1
   12:  168:ldq     | 164:ldq     | 160:subq    |   0:-       | 156:bis     r19=16  BUS_LOAD  MEM[160] accepted 1
   13:  172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    |   0:-       BUS_LOAD  MEM[168] accepted 1
   14:    0:-       | 172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    r18=8  BUS_LOAD  MEM[8] accepted 1
   15:    0:-       |   0:-       | 172:cmpult  | 168:ldq     | 164:ldq     r14=3  BUS_LOAD  MEM[16] accepted 1
   16:  176:bne     |   0:-       |   0:-       | 172:cmpult  | 168:ldq     r15=1  BUS_LOAD  MEM[168] accepted 1
   17:  180:stq     | 176:bne     |   0:-       |   0:-       | 172:cmpult  r11=0  BUS_LOAD  MEM[176] accepted 1
   18:  184:subq    | 180:stq     | 176:bne     |   0:-       |   0:-       BUS_LOAD  MEM[176] accepted 1
   19:  188:subq    | 184:subq    | 180:stq     | 176:bne     |   0:-       BUS_LOAD  MEM[184] accepted 1
   20:    0:-       | 188:subq    | 184:subq    | 180:stq     | 176:bne     BUS_STORE MEM[16] = 3 accepted 1
   21:  192:subq    |   0:-       | 188:subq    | 184:subq    | 180:stq     BUS_LOAD  MEM[184] accepted 1
   22:  196:beq     | 192:subq    |   0:-       | 188:subq    | 184:subq    r18=0  BUS_LOAD  MEM[192] accepted 1
   23:  200:br      | 196:beq     | 192:subq    |   0:-       | 188:subq    r19=8  BUS_LOAD  MEM[192] accepted 1
   24:  204:stq     | 200:br      | 196:beq     | 192:subq    |   0:-       BUS_LOAD  MEM[200] accepted 1
   25:  208:addq    | 204:stq     | 200:br      | 196:beq     | 192:subq    r6=0  BUS_LOAD  MEM[200] accepted 1
   26:  204:stq     |   0:-       |   0:-       |   0:-       | 196:beq     BUS_LOAD  MEM[200] accepted 1
   27:  208:addq    | 204:stq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[200] accepted 1
   28:  212:addq    | 208:addq    | 204:stq     |   0:-       |   0:-       BUS_LOAD  MEM[208] accepted 1
   29:    0:-       | 212:addq    | 208:addq    | 204:stq     |   0:-       BUS_STORE MEM[8] = 1 accepted 1
   30:  216:cmpult  |   0:-       | 212:addq    | 208:addq    | 204:stq     BUS_LOAD  MEM[208] accepted 1
   31:  220:bne     | 216:cmpult  |   0:-       | 212:addq    | 208:addq    r9=24  BUS_LOAD  MEM[216] accepted 1
   32:  224:halt    | 220:bne     | 216:cmpult  |   0:-       | 212:addq    r5=2  BUS_LOAD  MEM[216] accepted 1
   33:  228:call_pal| 224:halt    | 220:bne     | 216:cmpult  |   0:-       BUS_LOAD  MEM[224] accepted 1
   34:  232:call_pal| 228:call_pal| 224:halt    | 220:bne     | 216:cmpult  r10=1  BUS_LOAD  MEM[224] accepted 1
   35:  148:ldq     |   0:-       |   0:-       |   0:-       | 220:bne     BUS_LOAD  MEM[144] accepted 1
   36:  152:bis     | 148:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[144] accepted 1
   37:  156:bis     | 152:bis     | 148:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[152] accepted 1
   38:    0:-       | 156:bis     | 152:bis     | 148:ldq     |   0:-       BUS_LOAD  MEM[24] accepted 1
   39:  160:subq    |   0:-       | 156:bis     | 152:bis     | 148:ldq     r3=4  BUS_LOAD  MEM[152] accepted 1
   40:  164:ldq     | 160:subq    |   0:-       | 156:bis     | 152:bis     r6=2  BUS_LOAD  MEM[160] accepted 1
   41:  168:ldq     | 164:ldq     | 160:subq    |   0:-       | 156:bis     r19=24  BUS_LOAD  MEM[160] accepted 1
   42:  172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    |   0:-       BUS_LOAD  MEM[168] accepted 1
   43:    0:-       | 172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    r18=16  BUS_LOAD  MEM[16] accepted 1
   44:    0:-       |   0:-       | 172:cmpult  | 168:ldq     | 164:ldq     r14=3  BUS_LOAD  MEM[24] accepted 1
   45:  176:bne     |   0:-       |   0:-       | 172:cmpult  | 168:ldq     r15=4  BUS_LOAD  MEM[168] accepted 1
   46:  180:stq     | 176:bne     |   0:-       |   0:-       | 172:cmpult  r11=1  BUS_LOAD  MEM[176] accepted 1
   47:  184:subq    | 180:stq     | 176:bne     |   0:-       |   0:-       BUS_LOAD  MEM[176] accepted 1
   48:  188:subq    | 184:subq    | 180:stq     | 176:bne     |   0:-       BUS_LOAD  MEM[184] accepted 1
   49:  204:stq     |   0:-       |   0:-       |   0:-       | 176:bne     BUS_LOAD  MEM[200] accepted 1
   50:  208:addq    | 204:stq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[200] accepted 1
   51:  212:addq    | 208:addq    | 204:stq     |   0:-       |   0:-       BUS_LOAD  MEM[208] accepted 1
   52:    0:-       | 212:addq    | 208:addq    | 204:stq     |   0:-       BUS_STORE MEM[24] = 4 accepted 1
   53:  216:cmpult  |   0:-       | 212:addq    | 208:addq    | 204:stq     BUS_LOAD  MEM[208] accepted 1
   54:  220:bne     | 216:cmpult  |   0:-       | 212:addq    | 208:addq    r9=32  BUS_LOAD  MEM[216] accepted 1
   55:  224:halt    | 220:bne     | 216:cmpult  |   0:-       | 212:addq    r5=3  BUS_LOAD  MEM[216] accepted 1
   56:  228:call_pal| 224:halt    | 220:bne     | 216:cmpult  |   0:-       BUS_LOAD  MEM[224] accepted 1
   57:  232:call_pal| 228:call_pal| 224:halt    | 220:bne     | 216:cmpult  r10=1  BUS_LOAD  MEM[224] accepted 1
   58:  148:ldq     |   0:-       |   0:-       |   0:-       | 220:bne     BUS_LOAD  MEM[144] accepted 1
   59:  152:bis     | 148:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[144] accepted 1
   60:  156:bis     | 152:bis     | 148:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[152] accepted 1
   61:    0:-       | 156:bis     | 152:bis     | 148:ldq     |   0:-       BUS_LOAD  MEM[32] accepted 1
   62:  160:subq    |   0:-       | 156:bis     | 152:bis     | 148:ldq     r3=1  BUS_LOAD  MEM[152] accepted 1
   63:  164:ldq     | 160:subq    |   0:-       | 156:bis     | 152:bis     r6=3  BUS_LOAD  MEM[160] accepted 1
   64:  168:ldq     | 164:ldq     | 160:subq    |   0:-       | 156:bis     r19=32  BUS_LOAD  MEM[160] accepted 1
   65:  172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    |   0:-       BUS_LOAD  MEM[168] accepted 1
   66:    0:-       | 172:cmpult  | 168:ldq     | 164:ldq     | 160:subq    r18=24  BUS_LOAD  MEM[24] accepted 1
   67:    0:-       |   0:-       | 172:cmpult  | 168:ldq     | 164:ldq     r14=4  BUS_LOAD  MEM[32] accepted 1
   68:  176:bne     |   0:-       |   0:-       | 172:cmpult  | 168:ldq     r15=1  BUS_LOAD  MEM[168] accepted 1
   69:  180:stq     | 176:bne     |   0:-       |   0:-       | 172:cmpult  r11=0  BUS_LOAD  MEM[176] accepted 1
   70:  184:subq    | 180:stq     | 176:bne     |   0:-       |   0:-       BUS_LOAD  MEM[176] accepted 1
   71:  188:subq    | 184:subq    | 180:stq     | 176:bne     |   0:-       BUS_LOAD  MEM[184] accepted 1
   72:    0:-       | 188:subq    | 184:subq    | 180:stq     | 176:bne     BUS_STORE MEM[32] = 4 accepted 1
   73:  192:subq    |   0:-       | 188:subq    | 184:subq    | 180:stq     BUS_LOAD  MEM[184] accepted 1
   74:  196:beq     | 192:subq    |   0:-       | 188:subq    | 184:subq    r18=16  BUS_LOAD  MEM[192] accepted 1
   75:  200:br      | 196:beq     | 192:subq    |   0:-       | 188:subq    r19=24  BUS_LOAD  MEM[192] accepted 1
   76:  204:stq     | 200:br      | 196:beq     | 192:subq    |   0:-       BUS_LOAD  MEM[200] accepted 1
   77:  208:addq    | 204:stq     | 200:br      | 196:beq     | 192:subq    r6=2  BUS_LOAD  MEM[200] accepted 1
   78:  212:addq    | 208:addq    | 204:stq     | 200:br      | 196:beq     BUS_LOAD  MEM[208] accepted 1
   79:  164:ldq     |   0:-       |   0:-       |   0:-       | 200:br      BUS_LOAD  MEM[160] accepted 1
   80:  168:ldq     | 164:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[160] accepted 1
   81:  172:cmpult  | 168:ldq     | 164:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[168] accepted 1
   82:    0:-       | 172:cmpult  | 168:ldq     | 164:ldq     |   0:-       BUS_LOAD  MEM[16] accepted 1
   83:    0:-       |   0:-       | 172:cmpult  | 168:ldq     | 164:ldq     r14=3  BUS_LOAD  MEM[24] accepted 1
   84:  176:bne     |   0:-       |   0:-       | 172:cmpult  | 168:ldq     r15=4  BUS_LOAD  MEM[168] accepted 1
   85:  180:stq     | 176:bne     |   0:-       |   0:-       | 172:cmpult  r11=0  BUS_LOAD  MEM[176] accepted 1
   86:  184:subq    | 180:stq     | 176:bne     |   0:-       |   0:-       BUS_LOAD  MEM[176] accepted 1
   87:  188:subq    | 184:subq    | 180:stq     | 176:bne     |   0:-       BUS_LOAD  MEM[184] accepted 1
   88:    0:-       | 188:subq    | 184:subq    | 180:stq     | 176:bne     BUS_STORE MEM[24] = 3 accepted 1
   89:  192:subq    |   0:-       | 188:subq    | 184:subq    | 180:stq     BUS_LOAD  MEM[184] accepted 1
   90:  196:beq     | 192:subq    |   0:-       | 188:subq    | 184:subq    r18=8  BUS_LOAD  MEM[192] accepted 1
   91:  200:br      | 196:beq     | 192:subq    |   0:-       | 188:subq    r19=16  BUS_LOAD  MEM[192] accepted 1
   92:  204:stq     | 200:br      | 196:beq     | 192:subq    |   0:-       BUS_LOAD  MEM[200] accepted 1
   93:  208:addq    | 204:stq     | 200:br      | 196:beq     | 192:subq    r6=1  BUS_LOAD  MEM[200] accepted 1
   94:  212:addq    | 208:addq    | 204:stq     | 200:br      | 196:beq     BUS_LOAD  MEM[208] accepted 1
   95:  164:ldq     |   0:-       |   0:-       |   0:-       | 200:br      BUS_LOAD  MEM[160] accepted 1
   96:  168:ldq     | 164:ldq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[160] accepted 1
   97:  172:cmpult  | 168:ldq     | 164:ldq     |   0:-       |   0:-       BUS_LOAD  MEM[168] accepted 1
